# Number of vertices
50
# Edges (sparse)
 1	 3
 1	10
 1	11
 1	22
 1	23
 1	29
 1	30
 1	32
 1	46
 1	49
 2	13
 2	14
 2	25
 2	28
 2	29
 2	48
 3	 6
 3	 7
 3	15
 3	26
 3	27
 3	42
 4	 5
 4	11
 4	23
 4	28
 4	29
 4	45
 5	 9
 5	15
 5	18
 5	44
 5	46
 6	21
 6	30
 6	49
 7	14
 7	18
 7	24
 7	30
 7	36
 7	45
 7	50
 8	12
 8	18
 8	20
 8	21
 8	33
 8	49
 8	50
 9	10
 9	16
 9	26
 9	36
 9	40
10	18
10	19
10	21
10	31
11	14
11	17
11	23
11	25
11	40
11	50
12	18
12	20
12	22
12	23
12	28
12	31
12	35
12	40
12	43
12	47
13	14
13	23
13	34
13	39
13	42
13	47
14	15
14	18
14	25
14	26
14	29
14	44
15	25
15	27
15	28
15	31
15	38
15	49
16	20
16	22
16	32
16	39
16	47
16	48
17	27
17	31
17	32
17	33
17	42
17	46
18	20
18	23
18	28
18	31
18	37
18	41
18	44
18	47
19	21
19	28
19	42
19	43
19	46
20	39
20	41
20	47
20	49
21	23
21	24
21	38
21	48
22	25
22	31
22	38
22	43
22	46
23	26
23	29
23	30
23	46
23	48
24	25
24	27
24	30
24	37
24	44
24	46
25	27
25	33
25	39
25	41
25	45
25	47
25	48
26	29
26	32
26	36
26	43
26	48
26	49
27	29
27	30
27	31
27	33
27	36
27	38
27	39
27	41
27	42
27	45
28	37
28	39
28	44
28	49
29	36
29	42
29	45
29	47
30	31
30	32
30	35
30	40
30	45
31	43
31	44
31	48
31	49
32	36
32	39
32	40
32	42
32	44
32	47
32	48
33	35
33	37
33	42
33	43
33	50
34	35
34	42
34	45
34	50
35	46
35	49
35	50
36	37
36	43
36	48
36	50
37	39
37	47
38	40
38	41
38	42
38	44
38	46
38	47
38	49
39	50
40	41
40	44
40	45
41	42
41	43
41	44
41	45
41	46
41	47
41	48
41	49
42	44
42	45
42	47
43	45
43	47
43	48
43	49
44	45
44	46
44	47
44	50
45	46
45	47
45	48
45	49
45	50
46	47
46	49
46	50
47	48
47	49
47	50
48	49
48	50
49	50
